{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 10.32, 'datetime': '2018-10-09 12:06:13.792056', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 16, 'pitch': 6.3, 'roll': -0.71, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 10.69, 'datetime': '2018-10-09 12:06:13.895168', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 16, 'pitch': 6.23, 'roll': -0.56, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 11.05, 'datetime': '2018-10-09 12:06:13.999759', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 16, 'pitch': 5.75, 'roll': -0.3, 'pres': 186}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 11.48, 'datetime': '2018-10-09 12:06:14.103098', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 16, 'pitch': 4.89, 'roll': 0.08, 'pres': 186}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 11.94, 'datetime': '2018-10-09 12:06:14.206508', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 16, 'pitch': 4.12, 'roll': 0.32, 'pres': 186}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 12.42, 'datetime': '2018-10-09 12:06:14.310125', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 16, 'pitch': 3.56, 'roll': 0.43, 'pres': 186}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 12.94, 'datetime': '2018-10-09 12:06:14.413542', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 16, 'pitch': 3.32, 'roll': 0.44, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 13.52, 'datetime': '2018-10-09 12:06:14.516462', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 16, 'pitch': 3.45, 'roll': 0.27, 'pres': 185}
{'lipoC2': 7.54, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 14.06, 'datetime': '2018-10-09 12:06:14.619858', 'mgs': 1, 'volt': 0.9033, 'depth': 1.614, 'time': 16, 'pitch': 3.85, 'roll': -0.07, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 12:06:17.656361', 'mgs': 1, 'volt': 0.918, 'depth': 1.843, 'time': 1, 'pitch': 6.24, 'roll': -2.22, 'pres': 188}
