{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:34:39.961352', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 3, 'pitch': -4.06, 'roll': -0.25, 'pres': 161}
{'lipoC2': 7.24, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:34:39.971102', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.06, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.24, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:34:39.992141', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 3, 'pitch': -4.06, 'roll': -0.25, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:34:40.058127', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.06, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 25.94, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:34:40.163794', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.06, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 25.94, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:34:40.266202', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.06, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:34:40.368616', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.06, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:34:40.471064', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.06, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:34:40.574531', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.06, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:34:40.676895', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.06, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:34:40.779737', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 4, 'pitch': -4.06, 'roll': -0.25, 'pres': 160}
