{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.950938', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.962280', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.5, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.982399', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.5, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.991738', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.5, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:31.011582', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.5, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:31.073880', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.5, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:31.177073', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:31.280928', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:31.385012', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:31.488040', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
