{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -25.3, 'datetime': '2018-10-09 13:51:09.871618', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 422, 'pitch': -64.21, 'roll': -82.78, 'pres': 189}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -26.52, 'datetime': '2018-10-09 13:51:09.972894', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 422, 'pitch': -64.57, 'roll': -81.5, 'pres': 189}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -27.95, 'datetime': '2018-10-09 13:51:10.076910', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 422, 'pitch': -64.72, 'roll': -80.1, 'pres': 189}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -28.67, 'datetime': '2018-10-09 13:51:10.181429', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 422, 'pitch': -64.71, 'roll': -79.46, 'pres': 189}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -27.82, 'datetime': '2018-10-09 13:51:10.285227', 'mgs': 0, 'volt': 0.918, 'depth': 1.843, 'time': 422, 'pitch': -64.68, 'roll': -80.22, 'pres': 188}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -25.51, 'datetime': '2018-10-09 13:51:10.389525', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 422, 'pitch': -64.73, 'roll': -82.31, 'pres': 187}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -23.2, 'datetime': '2018-10-09 13:51:10.500320', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 422, 'pitch': -64.87, 'roll': -84.37, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -21.25, 'datetime': '2018-10-09 13:51:10.604806', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 422, 'pitch': -65.13, 'roll': -86.06, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -19.46, 'datetime': '2018-10-09 13:51:10.708929', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 423, 'pitch': -65.5, 'roll': -87.64, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -18.34, 'datetime': '2018-10-09 13:51:10.814481', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 423, 'pitch': -65.85, 'roll': -88.63, 'pres': 185}
