{'lipoC2': 7.28, 'lipoC3S1': 3.78, 'temp': 30.31, 'lipoC3S3': 11.47, 'lipoC3S2': 7.59, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 7, 'state': 'normal', 'yaw': -15.04, 'datetime': '2018-10-09 23:47:58.918043', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 5, 'pitch': 3.91, 'roll': 4.17, 'pres': 174}
{'lipoC2': 7.28, 'lipoC3S1': 3.79, 'temp': 30.38, 'lipoC3S3': 11.43, 'lipoC3S2': 7.6, 'rot1': 0, 'rot0': 0, 'rot3': 12, 'rot2': 8, 'state': 'normal', 'yaw': -15.89, 'datetime': '2018-10-09 23:47:58.934142', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 5, 'pitch': 4.17, 'roll': 4.03, 'pres': 172}
{'lipoC2': 7.28, 'lipoC3S1': 3.8, 'temp': 30.38, 'lipoC3S3': 11.44, 'lipoC3S2': 7.57, 'rot1': 0, 'rot0': 0, 'rot3': 13, 'rot2': 8, 'state': 'normal', 'yaw': -16.69, 'datetime': '2018-10-09 23:47:58.944367', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 5, 'pitch': 4.03, 'roll': 4.28, 'pres': 169}
{'lipoC2': 7.28, 'lipoC3S1': 3.78, 'temp': 30.38, 'lipoC3S3': 11.46, 'lipoC3S2': 7.58, 'rot1': 0, 'rot0': 0, 'rot3': 14, 'rot2': 9, 'state': 'normal', 'yaw': -17.44, 'datetime': '2018-10-09 23:47:58.960469', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 5, 'pitch': 3.56, 'roll': 4.82, 'pres': 172}
{'lipoC2': 7.28, 'lipoC3S1': 3.79, 'temp': 30.38, 'lipoC3S3': 11.47, 'lipoC3S2': 7.61, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 10, 'state': 'normal', 'yaw': -18.01, 'datetime': '2018-10-09 23:47:58.976565', 'mgs': 0, 'volt': 0.8447, 'depth': 0.699, 'time': 5, 'pitch': 3.01, 'roll': 5.23, 'pres': 173}
{'lipoC2': 7.28, 'lipoC3S1': 3.8, 'temp': 30.38, 'lipoC3S3': 11.46, 'lipoC3S2': 7.6, 'rot1': 0, 'rot0': 0, 'rot3': 16, 'rot2': 11, 'state': 'normal', 'yaw': -18.58, 'datetime': '2018-10-09 23:47:58.986956', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 5, 'pitch': 2.28, 'roll': 5.25, 'pres': 171}
{'lipoC2': 7.28, 'lipoC3S1': 3.8, 'temp': 30.31, 'lipoC3S3': 11.43, 'lipoC3S2': 7.6, 'rot1': 0, 'rot0': 0, 'rot3': 17, 'rot2': 11, 'state': 'normal', 'yaw': -19.25, 'datetime': '2018-10-09 23:47:59.003092', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 6, 'pitch': 1.09, 'roll': 4.82, 'pres': 171}
{'lipoC2': 7.28, 'lipoC3S1': 3.8, 'temp': 30.31, 'lipoC3S3': 11.43, 'lipoC3S2': 7.57, 'rot1': 0, 'rot0': 0, 'rot3': 18, 'rot2': 12, 'state': 'normal', 'yaw': -19.89, 'datetime': '2018-10-09 23:47:59.019266', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 6, 'pitch': -0.4, 'roll': 4.09, 'pres': 170}
{'lipoC2': 7.28, 'lipoC3S1': 3.79, 'temp': 30.38, 'lipoC3S3': 11.47, 'lipoC3S2': 7.61, 'rot1': 0, 'rot0': 0, 'rot3': 20, 'rot2': 13, 'state': 'normal', 'yaw': -20.52, 'datetime': '2018-10-09 23:47:59.029556', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 6, 'pitch': -2.02, 'roll': 3.33, 'pres': 171}
{'lipoC2': 7.28, 'lipoC3S1': 3.79, 'temp': 30.38, 'lipoC3S3': 11.42, 'lipoC3S2': 7.6, 'rot1': 0, 'rot0': 0, 'rot3': 21, 'rot2': 14, 'state': 'normal', 'yaw': -21.22, 'datetime': '2018-10-09 23:47:59.045681', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 6, 'pitch': -3.39, 'roll': 2.83, 'pres': 171}
