{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 9.76, 'datetime': '2018-10-09 13:02:55.194075', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 5, 'pitch': 1.18, 'roll': -3.89, 'pres': 190}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 11.26, 'datetime': '2018-10-09 13:02:55.299444', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 5, 'pitch': -0.15, 'roll': -2.97, 'pres': 190}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 12.32, 'datetime': '2018-10-09 13:02:55.402875', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 5, 'pitch': -1.16, 'roll': -1.91, 'pres': 190}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.0, 'datetime': '2018-10-09 13:02:55.506989', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 5, 'pitch': -1.85, 'roll': -0.71, 'pres': 190}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.46, 'datetime': '2018-10-09 13:02:55.610001', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 6, 'pitch': -2.19, 'roll': 0.58, 'pres': 191}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.7, 'datetime': '2018-10-09 13:02:55.714060', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 6, 'pitch': -2.17, 'roll': 1.62, 'pres': 191}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 13.86, 'datetime': '2018-10-09 13:02:55.817988', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 6, 'pitch': -1.93, 'roll': 2.48, 'pres': 191}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 14.07, 'datetime': '2018-10-09 13:02:55.921097', 'mgs': 0, 'volt': 0.9375, 'depth': 2.148, 'time': 6, 'pitch': -1.53, 'roll': 3.16, 'pres': 192}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 14.3, 'datetime': '2018-10-09 13:02:56.024331', 'mgs': 0, 'volt': 0.9375, 'depth': 2.148, 'time': 6, 'pitch': -0.9, 'roll': 3.49, 'pres': 192}
{'lipoC2': 7.43, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 14.55, 'datetime': '2018-10-09 13:02:56.127882', 'mgs': 0, 'volt': 0.9424, 'depth': 2.225, 'time': 6, 'pitch': -0.07, 'roll': 3.56, 'pres': 193}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 15.07, 'datetime': '2018-10-09 13:02:56.230949', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 6, 'pitch': 1.03, 'roll': 3.2, 'pres': 194}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 15.9, 'datetime': '2018-10-09 13:02:56.334055', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 6, 'pitch': 2.42, 'roll': 2.45, 'pres': 194}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 16.85, 'datetime': '2018-10-09 13:02:56.437376', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 6, 'pitch': 3.8, 'roll': 1.45, 'pres': 194}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 17.99, 'datetime': '2018-10-09 13:02:56.540577', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 6, 'pitch': 4.97, 'roll': 0.19, 'pres': 194}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 18.97, 'datetime': '2018-10-09 13:02:56.643809', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 7, 'pitch': 5.61, 'roll': -0.97, 'pres': 194}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 19.77, 'datetime': '2018-10-09 13:02:56.747024', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 7, 'pitch': 5.85, 'roll': -2.01, 'pres': 194}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 20.45, 'datetime': '2018-10-09 13:02:56.850436', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 7, 'pitch': 5.84, 'roll': -2.92, 'pres': 194}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 20.92, 'datetime': '2018-10-09 13:02:56.953533', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 7, 'pitch': 5.66, 'roll': -3.52, 'pres': 194}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 21.19, 'datetime': '2018-10-09 13:02:57.057921', 'mgs': 0, 'volt': 0.9521, 'depth': 2.377, 'time': 7, 'pitch': 5.49, 'roll': -3.86, 'pres': 195}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 21.22, 'datetime': '2018-10-09 13:02:57.161360', 'mgs': 0, 'volt': 0.9521, 'depth': 2.377, 'time': 7, 'pitch': 5.36, 'roll': -3.95, 'pres': 195}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 21.06, 'datetime': '2018-10-09 13:02:57.264445', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 7, 'pitch': 5.2, 'roll': -3.76, 'pres': 194}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 20.77, 'datetime': '2018-10-09 13:02:57.368921', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 7, 'pitch': 4.89, 'roll': -3.36, 'pres': 194}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 20.61, 'datetime': '2018-10-09 13:02:57.472152', 'mgs': 0, 'volt': 0.9521, 'depth': 2.377, 'time': 7, 'pitch': 4.11, 'roll': -2.81, 'pres': 195}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 20.87, 'datetime': '2018-10-09 13:02:57.575292', 'mgs': 0, 'volt': 0.9473, 'depth': 2.301, 'time': 7, 'pitch': 2.88, 'roll': -2.41, 'pres': 194}
