{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.71, 'datetime': '2018-10-05 19:50:57.877551', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 60, 'pitch': -11.18, 'roll': -1.16, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.8, 'datetime': '2018-10-05 19:50:57.981745', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 60, 'pitch': -10.78, 'roll': -1.1, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.96, 'datetime': '2018-10-05 19:50:58.085949', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 60, 'pitch': -10.42, 'roll': -1.25, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -39.26, 'datetime': '2018-10-05 19:50:58.190163', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 60, 'pitch': -10.26, 'roll': -1.43, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -39.69, 'datetime': '2018-10-05 19:50:58.294616', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 60, 'pitch': -10.37, 'roll': -1.63, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -40.04, 'datetime': '2018-10-05 19:50:58.398792', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 60, 'pitch': -10.64, 'roll': -1.85, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -40.28, 'datetime': '2018-10-05 19:50:58.504239', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 60, 'pitch': -10.84, 'roll': -2.14, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -40.41, 'datetime': '2018-10-05 19:50:58.608453', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 60, 'pitch': -10.89, 'roll': -2.53, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -40.45, 'datetime': '2018-10-05 19:50:58.713933', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 60, 'pitch': -10.94, 'roll': -2.82, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -40.47, 'datetime': '2018-10-05 19:50:58.818114', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 61, 'pitch': -11.01, 'roll': -2.93, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -40.62, 'datetime': '2018-10-05 19:50:58.922351', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 61, 'pitch': -11.13, 'roll': -2.76, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.79, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -40.81, 'datetime': '2018-10-05 19:50:59.026615', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 61, 'pitch': -11.19, 'roll': -2.34, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -40.87, 'datetime': '2018-10-05 19:50:59.130755', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 61, 'pitch': -11.22, 'roll': -1.88, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -40.84, 'datetime': '2018-10-05 19:50:59.234883', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 61, 'pitch': -11.11, 'roll': -1.45, 'pres': 162}
