{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 10.55, 'datetime': '2018-10-05 20:20:56.009205', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 53, 'pitch': -26.98, 'roll': -6.53, 'pres': 172}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 10.59, 'datetime': '2018-10-05 20:20:56.113717', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 53, 'pitch': -26.91, 'roll': -6.76, 'pres': 171}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 10.75, 'datetime': '2018-10-05 20:20:56.217869', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 53, 'pitch': -26.45, 'roll': -7.07, 'pres': 171}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 11.04, 'datetime': '2018-10-05 20:20:56.322033', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 53, 'pitch': -26.27, 'roll': -7.33, 'pres': 171}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 11.3, 'datetime': '2018-10-05 20:20:56.426429', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 53, 'pitch': -26.3, 'roll': -7.4, 'pres': 171}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 11.31, 'datetime': '2018-10-05 20:20:56.531139', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 53, 'pitch': -26.37, 'roll': -7.16, 'pres': 171}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 11.35, 'datetime': '2018-10-05 20:20:56.635334', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 53, 'pitch': -26.69, 'roll': -6.78, 'pres': 171}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 11.77, 'datetime': '2018-10-05 20:20:56.739534', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 53, 'pitch': -26.76, 'roll': -6.68, 'pres': 171}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 12.14, 'datetime': '2018-10-05 20:20:56.845061', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 53, 'pitch': -26.62, 'roll': -6.43, 'pres': 171}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 12.52, 'datetime': '2018-10-05 20:20:56.949417', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 54, 'pitch': -26.33, 'roll': -5.98, 'pres': 171}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 12.72, 'datetime': '2018-10-05 20:20:57.054639', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 54, 'pitch': -26.01, 'roll': -5.31, 'pres': 170}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 12.86, 'datetime': '2018-10-05 20:20:57.158787', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 54, 'pitch': -25.36, 'roll': -4.45, 'pres': 170}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 12.98, 'datetime': '2018-10-05 20:20:57.263163', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 54, 'pitch': -24.57, 'roll': -3.65, 'pres': 170}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 13.05, 'datetime': '2018-10-05 20:20:57.367190', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 54, 'pitch': -23.89, 'roll': -2.85, 'pres': 170}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 12.99, 'datetime': '2018-10-05 20:20:57.471453', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 54, 'pitch': -23.48, 'roll': -2.23, 'pres': 170}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 12.84, 'datetime': '2018-10-05 20:20:57.575732', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 54, 'pitch': -23.13, 'roll': -1.8, 'pres': 170}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.75, 'lipoC3S3': 11.54, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 12.57, 'datetime': '2018-10-05 20:20:57.680289', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 54, 'pitch': -22.86, 'roll': -1.59, 'pres': 170}
