{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.29, 'datetime': '2018-10-09 11:38:11.545235', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 139, 'pitch': 3.54, 'roll': -1.29, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.39, 'datetime': '2018-10-09 11:38:11.648486', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 139, 'pitch': 3.56, 'roll': -1.17, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.47, 'datetime': '2018-10-09 11:38:11.752477', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 139, 'pitch': 3.89, 'roll': -1.09, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.5, 'datetime': '2018-10-09 11:38:11.855353', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 139, 'pitch': 4.56, 'roll': -1.13, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.5, 'datetime': '2018-10-09 11:38:11.958220', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 139, 'pitch': 5.28, 'roll': -1.28, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.51, 'datetime': '2018-10-09 11:38:12.062368', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 139, 'pitch': 5.81, 'roll': -1.44, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.5, 'datetime': '2018-10-09 11:38:12.165275', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 139, 'pitch': 5.88, 'roll': -1.44, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.48, 'datetime': '2018-10-09 11:38:12.268302', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 140, 'pitch': 5.36, 'roll': -1.27, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.51, 'datetime': '2018-10-09 11:38:12.371084', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 140, 'pitch': 4.52, 'roll': -0.95, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.58, 'datetime': '2018-10-09 11:38:12.474126', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 140, 'pitch': 3.68, 'roll': -0.69, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.68, 'datetime': '2018-10-09 11:38:12.576990', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 140, 'pitch': 3.13, 'roll': -0.61, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.69, 'datetime': '2018-10-09 11:38:12.679910', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 140, 'pitch': 3.18, 'roll': -0.7, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.7, 'datetime': '2018-10-09 11:38:12.782802', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 140, 'pitch': 3.76, 'roll': -0.88, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.71, 'datetime': '2018-10-09 11:38:12.885865', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 140, 'pitch': 4.69, 'roll': -1.02, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.73, 'datetime': '2018-10-09 11:38:12.988571', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 140, 'pitch': 5.59, 'roll': -1.04, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.73, 'datetime': '2018-10-09 11:38:13.091436', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 140, 'pitch': 5.88, 'roll': -1.0, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.78, 'datetime': '2018-10-09 11:38:13.195325', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 141, 'pitch': 5.56, 'roll': -0.95, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.83, 'datetime': '2018-10-09 11:38:13.298199', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 141, 'pitch': 4.69, 'roll': -1.09, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.8, 'datetime': '2018-10-09 11:38:13.401539', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 141, 'pitch': 3.73, 'roll': -1.3, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.79, 'datetime': '2018-10-09 11:38:13.505770', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 141, 'pitch': 2.94, 'roll': -1.47, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.78, 'datetime': '2018-10-09 11:38:13.608594', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 141, 'pitch': 2.49, 'roll': -1.56, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.78, 'datetime': '2018-10-09 11:38:13.711501', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 141, 'pitch': 2.65, 'roll': -1.54, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.81, 'datetime': '2018-10-09 11:38:13.815716', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 141, 'pitch': 3.38, 'roll': -1.45, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -159.84, 'datetime': '2018-10-09 11:38:13.918562', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 141, 'pitch': 4.56, 'roll': -1.39, 'pres': 0}
