{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -145.46, 'datetime': '2018-10-09 11:35:31.852446', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 4, 'pitch': 4.79, 'roll': -0.19, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -145.87, 'datetime': '2018-10-09 11:35:31.861950', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': 4.32, 'roll': -0.21, 'pres': 0}
{'lipoC2': 7.66, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -146.24, 'datetime': '2018-10-09 11:35:31.871463', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': 4.16, 'roll': -0.34, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -146.6, 'datetime': '2018-10-09 11:35:31.880968', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': 4.36, 'roll': -0.48, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -147.11, 'datetime': '2018-10-09 11:35:31.890482', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': 4.92, 'roll': -0.53, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -147.52, 'datetime': '2018-10-09 11:35:31.900023', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': 5.52, 'roll': -0.47, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -147.85, 'datetime': '2018-10-09 11:35:31.909529', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': 5.95, 'roll': -0.38, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -148.22, 'datetime': '2018-10-09 11:35:31.919218', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': 6.0, 'roll': -0.4, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -148.57, 'datetime': '2018-10-09 11:35:31.928766', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': 5.6, 'roll': -0.43, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -148.93, 'datetime': '2018-10-09 11:35:31.938298', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 5, 'pitch': 4.96, 'roll': -0.4, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -149.32, 'datetime': '2018-10-09 11:35:31.947812', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 6, 'pitch': 4.28, 'roll': -0.19, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.31, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -149.63, 'datetime': '2018-10-09 11:35:31.957338', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 6, 'pitch': 3.95, 'roll': 0.07, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.31, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -149.9, 'datetime': '2018-10-09 11:35:31.966884', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 6, 'pitch': 4.06, 'roll': 0.19, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.38, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -150.18, 'datetime': '2018-10-09 11:35:32.065079', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 6, 'pitch': 4.7, 'roll': -0.01, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.38, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -150.45, 'datetime': '2018-10-09 11:35:32.168308', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 6, 'pitch': 5.48, 'roll': -0.44, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.38, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -150.77, 'datetime': '2018-10-09 11:35:32.271546', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 6, 'pitch': 6.01, 'roll': -0.86, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -151.11, 'datetime': '2018-10-09 11:35:32.375024', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 6, 'pitch': 6.07, 'roll': -1.02, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -151.46, 'datetime': '2018-10-09 11:35:32.478233', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 6, 'pitch': 5.52, 'roll': -0.79, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.38, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -151.73, 'datetime': '2018-10-09 11:35:32.581503', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 6, 'pitch': 4.75, 'roll': -0.38, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.38, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -151.95, 'datetime': '2018-10-09 11:35:32.685465', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 6, 'pitch': 4.18, 'roll': -0.13, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -152.2, 'datetime': '2018-10-09 11:35:32.788767', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 7, 'pitch': 4.08, 'roll': -0.25, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -152.45, 'datetime': '2018-10-09 11:35:32.893284', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 7, 'pitch': 4.47, 'roll': -0.65, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -152.78, 'datetime': '2018-10-09 11:35:32.997343', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 7, 'pitch': 5.06, 'roll': -1.05, 'pres': 0}
{'lipoC2': 7.66, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -153.07, 'datetime': '2018-10-09 11:35:33.100548', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 7, 'pitch': 5.42, 'roll': -1.16, 'pres': 0}
