{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.29, 'datetime': '2018-10-10 00:40:57.419453', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 6, 'pitch': -2.2, 'roll': 1.32, 'pres': 181}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.65, 'datetime': '2018-10-10 00:40:57.522835', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 7, 'pitch': -2.0, 'roll': 2.0, 'pres': 181}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.82, 'datetime': '2018-10-10 00:40:57.626064', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 7, 'pitch': -1.62, 'roll': 2.69, 'pres': 181}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.97, 'datetime': '2018-10-10 00:40:57.729219', 'mgs': 1, 'volt': 0.8838, 'depth': 1.309, 'time': 7, 'pitch': -1.59, 'roll': 3.18, 'pres': 181}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-10 00:41:02.257940', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 1, 'pitch': 5.05, 'roll': -0.38, 'pres': 181}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.02, 'datetime': '2018-10-10 00:41:05.308348', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 1, 'pitch': 4.83, 'roll': -0.36, 'pres': 181}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.14, 'datetime': '2018-10-10 00:41:05.337458', 'mgs': 0, 'volt': 0.8887, 'depth': 1.385, 'time': 1, 'pitch': 4.39, 'roll': -0.12, 'pres': 182}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.29, 'datetime': '2018-10-10 00:41:05.360661', 'mgs': 0, 'volt': 0.8838, 'depth': 1.309, 'time': 1, 'pitch': 3.99, 'roll': 0.22, 'pres': 181}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.43, 'datetime': '2018-10-10 00:41:05.378952', 'mgs': 0, 'volt': 0.8887, 'depth': 1.385, 'time': 1, 'pitch': 3.88, 'roll': 0.65, 'pres': 182}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.62, 'datetime': '2018-10-10 00:41:05.394840', 'mgs': 0, 'volt': 0.8887, 'depth': 1.385, 'time': 1, 'pitch': 3.94, 'roll': 1.05, 'pres': 182}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.95, 'datetime': '2018-10-10 00:41:05.405009', 'mgs': 0, 'volt': 0.8887, 'depth': 1.385, 'time': 1, 'pitch': 4.02, 'roll': 1.43, 'pres': 182}
