{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.45, 'datetime': '2018-10-03 17:46:46.242639', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -6.18, 'roll': -0.38, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.46, 'datetime': '2018-10-03 17:46:46.252520', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 4, 'pitch': -6.26, 'roll': -0.38, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.46, 'datetime': '2018-10-03 17:46:46.262391', 'mgs': 0, 'volt': 1.0254, 'depth': 3.522, 'time': 4, 'pitch': -6.32, 'roll': -0.47, 'pres': 210}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.63, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.43, 'datetime': '2018-10-03 17:46:46.272281', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 5, 'pitch': -6.31, 'roll': -0.46, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.63, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.39, 'datetime': '2018-10-03 17:46:46.282266', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 5, 'pitch': -6.31, 'roll': -0.43, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.63, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.34, 'datetime': '2018-10-03 17:46:46.292253', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 5, 'pitch': -6.3, 'roll': -0.4, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.34, 'datetime': '2018-10-03 17:46:46.302170', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 5, 'pitch': -6.29, 'roll': -0.35, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.35, 'datetime': '2018-10-03 17:46:46.312208', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 5, 'pitch': -6.27, 'roll': -0.34, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.35, 'datetime': '2018-10-03 17:46:46.322120', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 5, 'pitch': -6.26, 'roll': -0.43, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.34, 'datetime': '2018-10-03 17:46:46.332007', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 5, 'pitch': -6.31, 'roll': -0.55, 'pres': 211}
