{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.812137', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 287, 'pitch': 23.72, 'roll': -32.07, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:02.917947', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 287, 'pitch': 23.72, 'roll': -32.07, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:03.022570', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 287, 'pitch': 23.72, 'roll': -32.08, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:03.128493', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 287, 'pitch': 23.72, 'roll': -32.08, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:03.233120', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 287, 'pitch': 23.72, 'roll': -32.08, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.88, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:03.339858', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 288, 'pitch': 23.72, 'roll': -32.08, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.88, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:03.444476', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 288, 'pitch': 23.72, 'roll': -32.09, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.88, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:03.555850', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 288, 'pitch': 23.73, 'roll': -32.1, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:03.660983', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 288, 'pitch': 23.72, 'roll': -32.1, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:03.766757', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 288, 'pitch': 23.72, 'roll': -32.1, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:03.871359', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 288, 'pitch': 23.73, 'roll': -32.13, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:03.977260', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 288, 'pitch': 23.72, 'roll': -32.13, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:04.081906', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 288, 'pitch': 23.72, 'roll': -32.17, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:04.187981', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 288, 'pitch': 23.73, 'roll': -32.18, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:04.292351', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 289, 'pitch': 23.73, 'roll': -32.18, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:04.398473', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 289, 'pitch': 23.72, 'roll': -32.18, 'pres': 160}
