{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.767904', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 3, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.867899', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 3, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:04.971089', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 3, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:05.075195', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 3, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:05.178060', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 4, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:05.283507', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 4, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:05.386027', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 4, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:05.489528', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 4, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:05.593835', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 4, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:05.697181', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 4, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:05.800494', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 4, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:05.904951', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 4, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:06.008320', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 4, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.58, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:06.111475', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 4, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.5, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:31:06.216106', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 5, 'pitch': -10.98, 'roll': -0.3, 'pres': 159}
